normales,especiales,observacion
ALT 10360/20,,
ALT 10360/55,,
ALT 10360/57,,
ALT 10360/62,,
ALT 10360/66,,
ALT 10500/02,,
ALT 1170/02,,
ALT 1170/03,,
ALT 1170/04,,
ALT 1170/07,,
ALT 1170/08,,
ALT 1170/09,,
ALT 1170/10,,
ALT 1170/12,,
ALT 1170/13,,
ALT 1170/14,,
ALT 1170/16,,
ALT 1170/20,,
ALT 1170/23,,
ALT 1170/50,,
ALT 1170/60,,
ALT 1170/90,,
ALT 1170/92,,
ALT 1185/62,,
ALT 1321/24,,
ALT 1321/30,,
ALT 1321/50,,
ALT 1321/51,,
ALT 1349/34,,
ALT 1586/08,,
ALT 1683/06,,
ALT 1800/02,,
ALT 2012/12,,
ALT 20260/04,,
ALT 20300/10,,
ALT 2044/08,,
ALT 2044/21,,
ALT 2044/23,,
ALT 2044/24,,
ALT 2044/27,,
ALT 2044/80,,
ALT 2045/00,,
ALT 2130/30,,
ALT 2130/33,,
ALT 2130/34,,
ALT 2130/43,,
ALT 2130/46,,
ALT 2130/48,,
ALT 2130/49,,
ALT 2130/50,,
ALT 2130/52,,
ALT 2130/53,,
ALT 2130/54,,
ALT 2130/73,,
ALT 2130/74,,
ALT 2130/86,,
ALT 2130/87,,
ALT 2130/91,,
ALT 2130/95,,
ALT 2130/98,,
ALT 2131/10,,
ALT 2131/11,,
ALT 2131/30,,
ALT 2131/55,,
ALT 2131/85,,
ALT 2133/58,,
ALT 2135/10,,
ALT 2135/18,,
ALT 2221/08,,
ALT 2221/11,,
ALT 2221/12,,
ALT 2221/15,,
ALT 2335/54,,
ALT 2335/55,,
ALT 2335/62,,
ALT 2526/07,,
ALT 2528/87,,
ALT 2528/93,,
ALT 2528/96,,
ALT 2528/99,,
ALT 2590/05,,
ALT 2802/10,,
ALT 2900/30,,
ALT 2900/31,,
ALT 3007/90,,
ALT 3033/00,,
ALT 3033/07,,
ALT 3033/15,,
ALT 3033/16,,
ALT 3054/06,,
ALT 3055/08,,
ALT 3055/15,,
ALT 3061/01,,
ALT 3061/02,,
ALT 3061/03,,
ALT 3061/04,,
ALT 3061/05,,
ALT 3061/08,,
ALT 3061/09,,
ALT 3061/10,,
ALT 3061/11,,
ALT 3061/12,,
ALT 3061/16,,
ALT 3061/15,,
ALT 3061/17,,
ALT 3061/18,,
ALT 3061/19,,
ALT 3061/21,,
ALT 3061/23,,
ALT 3061/25,,
ALT 3061/26,,
ALT 3061/27,,
ALT 3061/28,,
ALT 3061/29,,
ALT 3061/34,,
ALT 3061/35,,
ALT 3061/37,,
ALT 3061/45,,
ALT 3061/91,,
ALT 3062/17,,
ALT 3062/25,,
ALT 3062/26,,
ALT 3062/27,,
ALT 3062/28,,
ALT 3062/29,,
ALT 3062/32,,
ALT 3062/33,,
ALT 3062/34,,
ALT 3062/35,,
ALT 3062/36,,
ALT 3062/37,,
ALT 3063/16,,
ALT 3063/25,,
ALT 3063/36,,
ALT 3063/37,,
ALT 3063/38,,
ALT 3123/31,,
ALT 3124/06,,
ALT 3124/01,,
ALT 3124/25,,
ALT 3061/14,,
ALT 3170/13,,
ALT 3170/17,,
ALT 3186/02,,
ALT 3186/03,,
ALT 3061/30,,
ALT 3186/20,,
ALT 3190/08,,
ALT 3197/27,,
ALT 3348/17,,
ALT 3348/18,,
ALT 3348/19,,
ALT 3393/00,,
ALT 3393/01,,
ALT 3440/10,,
ALT 3440/11,,
ALT 3440/12,,
ALT 3440/26,,
ALT 3440/40,,
ALT 3440/41,,
ALT 3440/42,,
ALT 3578/00,,
ALT 4069/00,,
ALT 4069/06,,
ALT 4069/07,,
ALT 4069/08,,
ALT 4075/12,,
ALT 4156/37,,
ALT 4156/45,,
ALT 4163/05,,
ALT 4163/04,,
ALT 4163/10,,
ALT 4163/11,,
ALT 4163/14,,
ALT 4163/15,,
ALT 4163/16,,
ALT 4163/17,,
ALT 4163/18,,
ALT 4163/20,,
ALT 4163/21,,
ALT 4164/05,,
ALT 4164/08,,
ALT 4176/44,,
ALT 4330/19,,
ALT 4367/10,,
ALT 4367/11,,
ALT 4367/12,,
ALT 4570/16,,
ALT 4570/25,,
ALT 4702/10,,
ALT 5032/06,,
ALT 5033/12,,
ALT 5033/13,,
ALT 5051/04,,
ALT 5065/02,,
ALT 5065/04,,
ALT 5065/06,,
ALT 5065/08,,
ALT 5065/09,,
ALT 5065/10,,
ALT 5065/13,,
ALT 5065/14,,
ALT 5065/15,,
ALT 5065/17,,
ALT 5065/18,,
ALT 5065/22,,
ALT 5065/29,,
ALT 3197/27,,
ALT 5075/42,,
ALT 5157/12,,
ALT 5157/14,,
ALT 5157/15,,
ALT 5157/19,,
ALT 5157/37,,
ALT 5157/80,,
ALT 5157/81,,
ALT 5157/92,,
ALT 5499/24,,
ALT 6004/16,,
ALT 6004/17,,
ALT 6019/22,,
ALT 6019/24,,
ALT 6019/25,,
ALT 6019/31,,
ALT 6019/44,,
ALT 6019/49,,
